Country,Population,Life_Exp_M,Life_Exp_F,Life_Exp,Healthy_Life_Exp,Maternal_mortality,Under_5_Mortality,Neonatal_mortality,Alcohol_Consumption,Family_Planning,Teen_birthrate,Tobacco_M,Tobacco_F,Health,Stunting,Wasting,Overweight,Drinking_Water,Sanitation,Death_ND,Death_Conflicts
Afghanistan,32 527,59.3,61.9,60.5,52.2,396,91.1,35.5,1.0,,51.9,,,45,40.9,9.5,5.4,55,32,0.8,40.9
Albania,2 897,75.1,80.7,77.8,68.8,29,14.0,6.2,6.6,12.9,19.7,51.2,7.6,,23.1,9.4,23.4,95,93,0.0,0
Algeria,39 667,73.8,77.5,75.6,66.0,140,25.5,15.5,0.6,77.2,12.4,,,73,11.7,4.1,12.4,84,88,0,1.0
Andorra,70.00,,,,,,2.8,1.4,9.1,,4.4,37.2,27.8,29,,,,100,100,,
Angola,25 022,50.9,54.0,52.4,45.8,477,156.9,48.7,7.6,,190.9,,,18,29.2,8.2,,49,52,0.1,0.0
Antigua and Barbuda,92.00,74.1,78.6,76.4,67.5,,8.1,4.9,3.2,,,,,88,,,,98,,0.0,
Argentina,43 417,72.7,79.9,76.3,67.6,52,12.5,6.3,7.6,,68.1,29.5,18.4,83,8.2,1.2,9.9,99,96,0,0.0
Armenia,3 018,71.6,77.7,74.8,66.8,25,14.1,7.4,5.5,39.2,22.7,52.3,1.5,96,20.8,4.2,16.8,100,90,0.0,0.0
Australia,23 969,80.9,84.8,82.8,71.9,6,3.8,2.2,12.6,,14.2,16.7,13.1,100,2.0,0.0,7.7,100,100,0,0
Austria,8 545,79.0,83.9,81.5,72.0,4,3.5,2.1,8.5,,7.9,,,87,,,,100,100,0,0
Azerbaijan,9 754,69.6,75.8,72.7,64.7,25,31.7,18.2,2.1,21.5,47.2,46.5,0.4,84,18.0,3.1,13.0,87,89,0.0,0.3
Bahamas,388.00,72.9,79.1,76.1,66.6,80,12.1,6.9,4.2,,34.6,,,61,,,,98,92,0.0,0.0
Bahrain,1 377,76.2,77.9,76.9,67.0,15,6.2,1.1,2.4,,13.8,48.8,7.6,96,,,,100,99,0.0,2.0
Bangladesh,160 996,70.6,73.1,71.8,62.3,176,37.6,23.3,0.2,72.5,113.0,39.8,0.7,88,36.1,14.3,1.4,87,61,0,0
Barbados,284.00,73.1,77.9,75.5,66.6,27,13.0,8.0,6.5,70.0,49.7,13.1,0.9,90,7.7,6.8,12.2,100,96,0.0,0.0
Belarus,9 496,66.5,78.0,72.3,65.1,4,4.6,1.9,17.1,74.2,21.6,46.2,10.6,90,4.5,2.2,9.7,100,94,0.0,0
Belgium,11 299,78.6,83.5,81.1,71.1,7,4.1,2.2,10.8,,7.2,26.5,20.0,82,,,,100,100,0,0
Belize,359.00,67.5,73.1,70.1,62.3,28,16.5,8.3,8.3,73.1,64.0,,,55,19.3,3.3,7.9,100,91,0.0,0.0
Benin,10 880,58.8,61.1,60.0,52.5,405,99.5,31.8,2.2,24.5,94.0,17.7,1.0,44,34.0,4.5,1.7,78,20,0,0.0
Bhutan,775.00,69.5,70.1,69.8,61.2,148,32.9,18.3,1.1,84.6,28.4,,,68,33.6,5.9,7.6,100,50,0.0,0.0
Bolivia (Plurinational State of),10 725,68.2,73.3,70.7,62.2,206,38.4,19.6,5.8,42.8,115.6,30.5,17.1,71,18.1,1.6,8.7,90,50,0.5,0.0
Bosnia and Herzegovina,3 810,75.0,79.7,77.4,68.6,11,5.4,4.0,7.5,21.9,11.0,47.2,30.0,55,8.9,2.3,17.4,100,95,0.1,0
Botswana,2 262,63.3,68.1,65.7,56.9,129,43.6,21.9,7.7,,39.0,,,62,31.4,7.2,11.2,96,63,0.1,0.0
Brazil,207 848,71.4,78.7,75.0,65.5,44,16.4,8.9,9.1,89.3,64.8,19.3,11.3,99,7.1,1.6,7.3,98,83,0.1,0.2
Brunei Darussalam,423.00,76.3,79.2,77.7,70.4,23,10.2,4.3,0.8,,16.6,29.3,3.1,92,19.7,2.9,8.3,,,0.0,0.0
Bulgaria,7 150,71.1,78.0,74.5,66.4,11,10.4,5.6,11.3,,40.8,42.4,28.2,69,,,,99,86,0,0
Burkina Faso,18 106,59.1,60.5,59.9,52.6,371,88.6,26.7,7.4,37.1,130.0,36.0,4.5,50,32.9,10.9,2.8,82,20,0,0
Burundi,11 179,57.7,61.6,59.6,52.2,712,81.7,28.6,9.8,32.6,85.0,,,56,57.5,6.1,2.9,76,48,0.2,0.1
Cabo Verde,521.00,71.3,75.0,73.3,64.4,42,24.5,12.2,7.2,73.2,,22.2,3.5,58,,,,92,72,0.0,0.0
Cambodia,15 578,66.6,70.7,68.7,58.9,161,28.7,14.8,6.1,56.4,57.0,44.1,2.8,52,32.4,9.6,2.0,76,42,0.7,0
Cameroon,23 344,55.9,58.6,57.3,50.3,596,87.9,25.7,7.7,40.2,119.0,43.8,0.9,91,31.7,5.2,6.7,76,46,0,1.2
Canada,35 940,80.2,84.1,82.2,72.3,7,4.9,3.2,10.3,,12.6,17.7,12.2,99,,,,100,100,0,0
Central African Republic,4 900,50.9,54.1,52.5,45.9,882,130.1,42.6,3.8,28.7,229.0,,,24,40.7,7.4,1.8,69,22,0.0,25.6
Chad,14 037,51.7,54.5,53.1,46.1,856,138.7,39.3,4.4,17.5,203.4,,,43,39.9,13.0,2.5,51,12,0,0.1
Chile,17 948,77.4,83.4,80.5,70.4,22,8.1,4.9,9.3,,51.5,40.0,36.0,79,1.8,0.3,9.3,99,99,0,0
China,1 383 925,74.6,77.6,76.1,68.5,27,10.7,5.5,7.6,,6.2,47.6,1.8,99,9.4,2.3,6.6,96,77,0,0
Colombia,48 229,71.2,78.4,74.8,65.1,64,15.9,8.5,6.6,83.7,84.0,16.0,6.2,86,12.7,0.9,4.8,91,81,0.2,0.8
Comoros,788.00,61.9,65.2,63.5,55.9,335,73.5,34.0,0.2,27.8,70.0,23.1,6.0,29,32.1,11.1,10.9,90,36,0.1,0.0
Congo,4 620,63.2,66.3,64.7,56.6,442,45.0,18.0,3.9,38.5,147.0,43.2,1.7,28,21.2,8.2,5.9,77,15,0,0.0
Cook Islands,21.00,,,,,,8.1,4.4,4.8,,56.0,,,63,,,,100,98,,
Costa Rica,4 808,77.1,82.2,79.6,69.7,25,9.7,6.2,5.1,89.1,61.2,18.5,8.3,85,5.6,1.0,8.1,98,95,0,0.0
Côte d'Ivoire,22 702,52.3,54.4,53.3,47.0,645,92.6,37.9,6.5,30.9,125.0,,,87,29.6,7.6,3.2,82,23,0,0.5
Croatia,4 240,74.7,81.2,78.0,69.4,8,4.3,2.6,11.7,,11.8,39.4,33.5,71,,,,100,97,0,0.0
Cuba,11 390,76.9,81.4,79.1,69.2,39,5.5,2.3,5.5,88.4,52.5,52.7,17.8,100,,,,95,93,0,0.0
Cyprus,1 165,78.3,82.7,80.5,71.3,7,2.7,1.5,9.1,,4.2,,,62,,,,100,100,0.0,0.0
Czech Republic,10 543,75.9,81.7,78.8,69.4,4,3.4,1.8,14.1,85.7,11.1,37.4,29.0,91,,,,100,99,0,0
Democratic People's Republic of Korea,25 155,67.0,74.0,70.6,64.0,82,24.9,13.5,4.4,76.7,0.7,,,73,27.9,4.0,0.0,100,82,0.2,0.0
Democratic Republic of the Congo,77 267,58.3,61.5,59.8,51.7,693,98.3,30.1,3.4,15.6,138.0,,,75,42.6,8.1,4.4,52,29,0,1.8
Denmark,5 669,78.6,82.5,80.6,71.2,6,3.5,2.5,10.2,,2.4,17.6,16.4,91,,,,100,100,0,0
Djibouti,888.00,61.8,65.3,63.5,55.8,229,65.3,33.4,0.9,,20.6,,,46,33.5,21.5,8.1,90,47,0.0,0.1
Dominica,73.00,,,,,,21.2,15.6,6.6,,47.2,,,66,,,,,,,
Dominican Republic,10 528,70.9,77.1,73.9,65.1,92,30.9,21.7,7.6,84.1,90.0,18.8,9.4,71,7.1,2.4,7.6,85,84,0,0.0
Ecuador,16 144,73.5,79.0,76.2,67.0,64,21.6,10.8,6.1,80.7,,14.0,3.3,90,25.2,2.3,7.5,87,85,0,0
Egypt,91 508,68.8,73.2,70.9,62.2,33,24.0,12.8,0.3,80.0,56.0,49.9,0.3,93,22.3,9.5,15.7,99,95,0.0,0.4
El Salvador,6 127,68.8,77.9,73.5,64.1,54,16.8,8.3,3.5,81.9,72.0,,,93,14.0,2.0,6.0,94,75,0.1,0.0
Equatorial Guinea,845.00,56.6,60.0,58.2,51.2,342,94.1,33.1,8.1,20.5,176.0,,,27,26.2,3.1,9.7,48,75,0.0,0.0
Eritrea,5 228,62.4,67.0,64.7,55.9,501,46.5,18.4,1.4,19.6,76.0,,,73,50.3,15.3,1.9,58,16,0.0,0
Estonia,1 313,72.7,82.0,77.6,68.9,9,2.9,1.5,,,15.6,41.2,24.9,72,,,,100,97,0.0,0
Ethiopia,99 391,62.8,66.8,64.8,56.1,353,59.2,27.7,4.3,57.6,71.2,8.9,0.5,78,40.4,8.7,2.6,57,28,0.0,0.2
Fiji,892.00,67.0,73.1,69.9,62.9,30,22.4,9.6,3.2,,27.5,38.7,12.4,98,,,,96,91,0.4,0.0
Finland,5 503,78.3,83.8,81.1,71.0,3,2.3,1.3,11.9,,7.3,23.2,18.5,96,,,,100,98,0.0,0
France,64 395,79.4,85.4,82.4,72.6,8,4.3,2.2,11.6,95.5,6.2,29.8,25.6,94,,,,100,99,0,0
Gabon,1 725,64.7,67.2,66.0,57.2,291,50.8,23.2,11.8,33.7,115.0,,,48,17.5,3.4,7.7,93,42,0.0,0.0
Gambia,1 991,59.8,62.5,61.1,53.8,706,68.9,29.9,3.2,23.9,88.0,,,33,25.0,11.1,3.2,90,59,0,0.0
Georgia,4 000,70.3,78.3,74.4,66.5,36,11.9,7.2,6.7,52.8,41.5,57.7,5.7,81,11.3,1.6,19.9,100,86,0.2,0
Germany,80 689,78.7,83.4,81.0,71.3,6,3.7,2.1,10.6,,7.8,32.4,28.3,99,1.3,1.0,3.5,100,99,0,0
Ghana,27 410,61.0,63.9,62.4,55.3,319,61.6,28.3,5.4,44.6,65.0,13.1,0.4,69,18.8,4.7,2.6,89,15,0.2,0.0
Greece,10 955,78.3,83.6,81.0,71.9,3,4.6,2.9,9.3,,8.3,52.6,32.7,76,,,,100,99,0,0
Grenada,107.00,71.2,76.1,73.6,65.0,27,11.8,6.0,10.4,,,,,66,,,,97,98,0.0,
Guatemala,16 343,68.5,75.2,71.9,62.1,88,29.1,13.4,3.9,65.5,91.0,,,87,48.0,1.1,4.9,93,64,0.2,0.2
Guinea,12 609,58.2,59.8,59.0,51.7,679,93.7,31.3,0.7,15.7,146.0,,,57,31.3,9.9,3.8,77,20,0.0,0.2
Guinea-Bissau,1 844,57.2,60.5,58.9,51.5,549,92.5,39.7,4.3,37.6,136.7,,,50,27.6,6.0,2.3,79,21,0.0,0
Guyana,767.00,63.9,68.5,66.2,58.9,229,39.4,22.8,8.6,52.5,101.0,,,85,12.0,6.4,5.3,98,84,0.0,0.0
Haiti,10 711,61.5,65.5,63.5,55.4,359,69.0,25.4,5.9,44.8,66.0,22.1,2.5,48,21.9,5.2,3.6,58,28,0.4,0.0
Honduras,8 075,72.3,77.0,74.6,64.9,129,20.4,11.0,4.0,76.0,101.0,33.3,2.1,75,22.7,1.4,5.2,91,83,0,0
Hungary,9 855,72.3,79.1,75.9,67.4,17,5.9,3.5,12.4,,19.8,32.0,24.8,91,,,,100,98,0.0,0.0
Iceland,329.00,81.2,84.1,82.7,72.7,3,2.0,0.9,6.9,,7.1,17.0,15.1,84,,,,100,99,0.0,0.0
India,1 311 051,66.9,69.9,68.3,59.5,174,47.7,27.7,4.6,63.9,28.1,20.4,1.9,94,38.7,15.1,1.9,94,40,0.2,0
Indonesia,257 564,67.1,71.2,69.1,62.2,126,27.2,13.5,0.6,78.8,47.0,76.2,3.6,96,36.4,13.5,11.5,87,61,0,0
Iran (Islamic Republic of),79 109,74.5,76.6,75.5,66.6,25,15.5,9.5,1.0,68.6,37.7,21.5,0.7,85,6.8,4.0,,96,90,0.1,0.1
Iraq,36 423,66.2,71.8,68.9,60.0,50,32.0,18.4,0.5,59.3,82.0,,,91,22.6,7.4,11.8,87,86,0,83.6
Ireland,4 688,79.4,83.4,81.4,71.5,8,3.6,2.3,10.9,,9.2,22.4,21.9,78,,,,98,91,0,0
Israel,8 064,80.6,84.3,82.5,72.8,5,4.0,2.1,3.1,,10.2,41.2,19.3,71,,,,100,100,0,0.3
Italy,59 798,80.5,84.8,82.7,72.8,4,3.5,2.1,6.1,,5.8,28.3,19.7,77,,,,100,100,0,0.0
Jamaica,2 793,73.9,78.6,76.2,66.9,89,15.7,11.6,5.1,83.0,45.7,29.9,5.9,81,5.7,3.0,7.8,94,82,0.0,0.0
Japan,126 573,80.5,86.8,83.7,74.9,5,2.7,0.9,7.5,,4.4,33.7,10.6,100,7.1,2.3,1.5,100,100,3.4,0
Jordan,7 595,72.5,75.9,74.1,65.0,58,17.9,10.6,0.7,58.0,26.0,70.2,10.7,97,7.8,2.4,4.7,97,99,0.0,0
